#{"t_start": 1771697675.5216992, "env_id": "SpaceInvadersNoFrameskip-v4"}
r,l,t
80.0,1945,165.904639
110.0,1431,169.240436
90.0,1457,172.493216
105.0,1413,175.883329
45.0,1405,179.286799
285.0,3271,186.757383
110.0,1717,190.898916
100.0,1155,193.63425
100.0,1321,196.639912
110.0,1901,201.388623
80.0,1479,204.898934
235.0,3197,212.310447
265.0,2805,219.154103
210.0,2483,224.860657
50.0,1423,228.069873
140.0,2105,232.986626
135.0,2179,238.300018
185.0,2303,243.911066
180.0,2113,248.901468
180.0,2285,254.272064
195.0,1879,258.918717
20.0,1551,262.418272
155.0,2085,267.51953
125.0,2003,272.48762
75.0,1509,276.212882
140.0,2329,281.812878
105.0,1779,285.988143
140.0,2077,290.788215
125.0,1757,294.932983
105.0,1679,298.915416
105.0,2095,303.844746
135.0,2121,308.727561
145.0,1925,313.183256
65.0,1485,316.634548
205.0,3497,324.724733
380.0,2351,330.160015
115.0,1857,334.604169
160.0,3093,342.098636
190.0,2503,348.362628
175.0,2055,353.060295
405.0,2641,359.419601
75.0,1665,366.186549
30.0,1633,370.133417
105.0,1853,374.478993
150.0,1747,378.611646
55.0,1035,380.946826
180.0,2179,386.153201
145.0,2513,392.08411
30.0,1041,394.783818
110.0,2025,399.459146
305.0,3007,406.418323
210.0,2191,411.939683
260.0,2975,418.861883
210.0,2267,424.120286
65.0,1431,427.500265
105.0,2031,432.269754
50.0,1181,435.16961
90.0,1425,438.860386
210.0,2175,444.289281
180.0,2303,449.652339
130.0,2271,454.988976
380.0,2287,460.357285
60.0,1165,463.019985
60.0,1777,467.046686
90.0,1945,471.680405
215.0,2389,477.355163
75.0,1263,480.432793
30.0,1465,483.841646
80.0,1871,488.154198
210.0,2287,493.703706
20.0,1589,497.362285
210.0,2099,502.261446
105.0,2347,507.616431
105.0,1909,512.061122
110.0,1915,516.677524
45.0,1271,520.065486
180.0,2373,525.735626
285.0,2957,532.683739
250.0,2495,538.595862
125.0,2883,545.294206
285.0,2373,550.778568
105.0,1821,555.044497
105.0,1755,559.106396
255.0,2959,565.985653
235.0,2853,572.652447
135.0,2301,578.172177
95.0,1899,582.545055
105.0,1433,585.965573
5.0,1603,589.841828
310.0,3259,597.40638
245.0,2815,604.106036
245.0,2807,614.343694
170.0,2469,619.997394
75.0,1781,624.058834
210.0,2459,629.635146
45.0,1565,633.001491
210.0,2449,638.594066
155.0,2083,643.506533
470.0,2511,649.274086
125.0,1537,652.58269
30.0,1107,655.038006
110.0,2277,660.345253
120.0,1823,664.508856
345.0,3736,672.918119
40.0,1195,675.525437
180.0,2405,681.26751
150.0,1725,685.283156
150.0,2109,690.27544
315.0,2991,697.345321
130.0,1939,701.848651
105.0,1435,705.240687
40.0,1421,708.567865
410.0,2479,714.134254
80.0,1775,718.355006
75.0,1841,722.57111
430.0,2771,728.99911
65.0,1219,731.696624
120.0,1515,735.299102
410.0,3333,742.918278
85.0,1973,747.330909
215.0,2389,752.874347
30.0,1023,755.225101
120.0,1649,759.130083
105.0,2169,764.084583
175.0,2461,769.692791
180.0,2381,775.103101
120.0,1975,779.739338
105.0,1615,783.478583
135.0,1969,788.184817
30.0,1183,790.903264
150.0,2335,796.282496
390.0,3015,803.176483
120.0,2369,808.643719
155.0,1969,813.097506
90.0,1865,817.361141
410.0,2857,823.854662
90.0,1927,828.243971
105.0,2231,833.35126
170.0,2193,838.352251
160.0,2271,843.57186
50.0,1169,849.66675
170.0,2957,856.371285
210.0,2471,862.066301
110.0,1941,866.55615
150.0,2343,871.814519
55.0,1465,875.263964
125.0,1939,879.698005
210.0,2145,884.678975
145.0,2083,889.387131
125.0,2561,895.36529
210.0,2509,901.016146
155.0,2663,907.242883
105.0,1831,911.447036
170.0,2805,918.112514
105.0,1945,922.445404
90.0,1913,926.777401
210.0,2495,932.720429
80.0,1243,935.569818
215.0,2809,942.59756
105.0,1537,946.352584
155.0,1843,951.477523
315.0,2967,959.922086
155.0,2403,966.659155
210.0,2453,973.39489
205.0,3123,982.940008
110.0,1577,987.435639
105.0,1893,993.063617
160.0,2113,999.333788
310.0,2081,1005.790253
210.0,2547,1013.25691
325.0,2849,1022.95641
105.0,1741,1027.91821
110.0,1945,1033.781963
110.0,1847,1040.055068
115.0,1369,1044.69593
125.0,2311,1050.859906
90.0,2501,1056.526147
110.0,2093,1061.509632
45.0,1147,1064.161586
140.0,2401,1069.603172
50.0,1903,1073.930228
155.0,2537,1080.026113
105.0,1881,1084.385552
345.0,4039,1093.485083
155.0,2347,1098.925463
410.0,2935,1105.884062
180.0,2389,1114.503104
125.0,2067,1119.20678
585.0,4821,1130.294631
105.0,1891,1134.597983
210.0,2557,1140.350142
190.0,2901,1147.217408
180.0,1909,1151.528322
105.0,2027,1156.125312
155.0,2479,1161.651606
155.0,2485,1167.343235
135.0,2119,1172.239381
350.0,2329,1177.552715
125.0,1879,1181.899906
135.0,2359,1187.320383
140.0,2369,1192.66584
135.0,1389,1195.934772
110.0,1559,1199.50349
90.0,1957,1204.077868
365.0,2991,1210.969465
135.0,2345,1216.355869
110.0,1911,1220.715715
180.0,2371,1226.229622
180.0,2393,1231.588473
80.0,1243,1234.445879
350.0,3105,1241.536789
110.0,2167,1246.499087
210.0,2427,1252.179296
210.0,2253,1257.34404
155.0,2505,1262.97752
110.0,2303,1268.22651
265.0,2979,1275.469996
125.0,2781,1281.877259
110.0,2131,1286.799298
105.0,2061,1291.619788
105.0,1113,1294.208713
105.0,1911,1298.624605
155.0,2323,1304.023452
20.0,1397,1307.139136
110.0,2149,1312.087519
105.0,1871,1316.503647
75.0,1249,1319.398448
390.0,4025,1328.728661
265.0,2925,1335.711044
195.0,2779,1342.070713
210.0,2465,1351.075958
180.0,2569,1357.029984
210.0,2503,1362.729838
265.0,2873,1369.358222
235.0,2887,1375.983076
165.0,2389,1381.3262
355.0,2339,1386.723774
105.0,2277,1391.799768
240.0,2887,1398.519693
180.0,2401,1404.06925
110.0,1889,1408.358071
210.0,2537,1414.200418
135.0,2391,1419.78164
255.0,3281,1427.494637
380.0,2495,1433.225581
430.0,2771,1439.666507
50.0,1193,1442.40967
75.0,1211,1445.215141
50.0,1841,1449.459017
80.0,1147,1452.037263
460.0,3283,1459.524199
145.0,2735,1465.968858
90.0,1859,1470.161289
105.0,1887,1474.435108
425.0,2887,1481.150924
105.0,1915,1485.622153
210.0,2551,1491.690843
50.0,1737,1495.72355
160.0,2333,1501.614062
80.0,1209,1504.575293
110.0,2311,1509.967
155.0,2393,1515.425918
210.0,2617,1521.51906
105.0,1919,1525.946721
75.0,1509,1529.479013
155.0,2449,1534.983168
410.0,3239,1542.444557
155.0,2385,1547.984476
120.0,2345,1553.339741
80.0,1161,1556.002466
530.0,3933,1565.130163
140.0,1587,1568.832193
275.0,3029,1575.915282
75.0,1521,1579.550319
210.0,2705,1589.117873
265.0,2871,1595.845731
310.0,2285,1601.406431
355.0,2633,1607.510465
120.0,1183,1610.297812
110.0,1219,1613.071345
105.0,2039,1617.710016
105.0,1239,1620.533889
105.0,2077,1625.241562
50.0,1229,1628.04116
120.0,2301,1633.363395
120.0,1939,1637.639211
110.0,1391,1640.718642
165.0,1799,1644.76597
390.0,4349,1654.690457
120.0,1997,1659.276719
210.0,2561,1665.121734
135.0,2129,1670.046195
155.0,2281,1675.290501
215.0,2381,1680.839951
215.0,2521,1686.653105
390.0,5305,1698.865894
180.0,2353,1704.347258
55.0,1241,1707.065979
160.0,1685,1710.963584
210.0,2441,1716.76358
105.0,1903,1721.274174
130.0,1673,1725.110078
215.0,2671,1731.543399
210.0,2653,1737.638775
110.0,2007,1742.207511
45.0,1451,1745.688075
155.0,2467,1751.350957
160.0,2227,1756.578789
380.0,2433,1762.118079
110.0,1553,1765.682487
210.0,2155,1771.234961
300.0,3003,1778.380576
210.0,2329,1783.694716
105.0,2141,1788.641464
275.0,4397,1798.80216
140.0,2227,1804.317416
110.0,2097,1809.13055
210.0,2583,1815.10893
225.0,2777,1821.608948
210.0,2343,1830.996062
105.0,1175,1833.81468
500.0,2840,1840.396446
130.0,2281,1845.716596
375.0,2363,1851.238599
110.0,2045,1856.062583
245.0,2807,1862.525534
135.0,2281,1868.033283
130.0,1895,1872.455708
75.0,1525,1876.101394
210.0,2521,1881.886422
210.0,2445,1887.622958
110.0,1391,1890.934529
730.0,4099,1900.535053
155.0,1795,1904.72981
210.0,2355,1910.180526
210.0,2703,1916.47647
210.0,2449,1922.343395
240.0,3061,1929.509616
65.0,1529,1933.10088
50.0,1179,1935.786331
225.0,2883,1942.64827
415.0,2743,1949.071829
180.0,2379,1954.561967
355.0,2443,1960.21244
490.0,3819,1969.296372
225.0,2481,1975.26689
120.0,1667,1979.298699
130.0,2021,1984.220613
120.0,1907,1988.666795
80.0,1523,1992.125829
120.0,1963,1996.871367
180.0,2379,2002.471614
210.0,2767,2009.064007
240.0,2917,2016.006119
255.0,2873,2022.761543
100.0,1461,2026.322329
125.0,1529,2030.039203
30.0,1041,2032.400753
75.0,1103,2035.051339
150.0,1355,2038.245058
210.0,2195,2043.546934
290.0,3191,2051.043103
180.0,2631,2057.371759
85.0,1659,2061.699102
95.0,1629,2065.686252
50.0,1121,2068.353287
185.0,2413,2078.069818
475.0,3063,2085.423569
255.0,2811,2092.28237
260.0,2865,2099.007541
180.0,1897,2103.510034
10.0,1073,2105.950959
105.0,1633,2109.866454
300.0,2555,2116.007763
90.0,1777,2120.217961
130.0,1651,2124.171322
95.0,1315,2127.176726
145.0,2465,2133.010572
110.0,1555,2136.726885
290.0,2795,2143.491642
265.0,2575,2149.569207
140.0,1863,2153.980643
240.0,2883,2161.012895
235.0,2059,2165.858779
120.0,1875,2170.476451
25.0,1271,2173.694133
210.0,2405,2179.457777
175.0,2549,2185.602527
470.0,2843,2192.6663
295.0,3005,2200.032127
260.0,3027,2207.402471
260.0,2973,2214.669049
440.0,3315,2222.714003
180.0,2423,2228.651722
210.0,2527,2234.929161
105.0,1839,2239.446492
110.0,1909,2244.066572
185.0,2295,2249.752924
180.0,1903,2254.527317
180.0,2685,2261.068269
110.0,1921,2265.772892
155.0,2477,2271.883255
210.0,2469,2277.862971
50.0,1283,2281.098725
440.0,2861,2288.200726
35.0,1267,2291.326819
240.0,2969,2298.687672
210.0,2397,2304.947145
255.0,3059,2312.486001
160.0,2353,2318.691955
130.0,1117,2321.428907
155.0,2391,2332.041487
410.0,2711,2338.68889
165.0,1817,2343.003718
110.0,1941,2347.659777
450.0,2889,2354.719729
65.0,1075,2357.268754
155.0,2383,2363.120468
210.0,2509,2369.288261
200.0,2673,2375.823959
180.0,2367,2381.715269
180.0,2593,2388.097488
185.0,2385,2394.351605
155.0,2457,2400.911917
210.0,2451,2407.035548
260.0,2927,2414.402722
245.0,2853,2421.665745
155.0,2417,2427.74875
155.0,2437,2433.730684
210.0,2383,2439.718901
260.0,2895,2446.966247
120.0,2351,2452.821512
410.0,2481,2459.050604
240.0,3035,2466.633769
290.0,3099,2474.42588
225.0,2841,2481.532212
110.0,1657,2485.646617
335.0,2099,2490.937519
80.0,1451,2494.704066
170.0,2017,2499.703735
210.0,2197,2505.17752
105.0,1169,2508.177797
410.0,2611,2514.81087
105.0,1537,2518.707241
295.0,3043,2526.284305
225.0,2681,2533.066863
210.0,1995,2538.075435
215.0,3255,2546.57631
45.0,1549,2550.629384
180.0,2177,2556.227039
110.0,1175,2559.122842
180.0,1991,2564.231274
565.0,4019,2574.544957
210.0,2615,2581.286604
180.0,2253,2590.481987
180.0,2383,2596.703301
155.0,1963,2601.682713
210.0,2453,2608.010557
135.0,1637,2612.199593
240.0,2575,2618.973717
490.0,3007,2626.841499
125.0,1685,2631.276876
210.0,2427,2637.5605
165.0,1531,2641.626806
55.0,1181,2644.671132
150.0,2485,2651.172531
105.0,1557,2655.280873
515.0,3591,2664.79283
135.0,1599,2669.028663
210.0,2239,2674.872096
105.0,1529,2678.823726
155.0,2135,2684.430027
260.0,2915,2692.176822
280.0,2681,2699.308266
180.0,2225,2705.170096
425.0,3057,2713.204087
145.0,2053,2718.728261
160.0,2037,2724.080556
555.0,3681,2733.913372
310.0,3171,2742.31539
120.0,1593,2746.541288
275.0,3089,2754.630606
165.0,1933,2759.789155
65.0,1161,2762.736757
135.0,2011,2767.999878
130.0,1203,2771.126553
220.0,2691,2778.372513
455.0,2873,2785.917535
275.0,2839,2793.24946
255.0,2971,2801.158451
445.0,2081,2806.697383
215.0,2449,2813.176889
525.0,3209,2821.564144
155.0,2399,2827.749026
105.0,1759,2832.604817
75.0,1847,2837.47273
105.0,1893,2842.425533
300.0,3083,2850.827856
360.0,3413,2864.150387
120.0,1137,2867.095743
515.0,2815,2874.624563
90.0,1907,2879.917888
65.0,1577,2884.116227
125.0,1971,2889.347594
240.0,2873,2897.183144
155.0,2745,2904.477335
275.0,2847,2911.997853
135.0,1719,2916.566719
305.0,3305,2925.2705
290.0,2869,2932.943162
155.0,2405,2939.388562
135.0,2063,2944.881243
55.0,1191,2948.015689
130.0,2455,2954.684147
135.0,2011,2960.135419
200.0,2179,2965.885849
165.0,2029,2971.326623
110.0,1917,2976.416485
210.0,2841,2983.974345
120.0,1625,2988.243336
445.0,4197,2999.696618
115.0,1561,3003.86375
265.0,2987,3012.258015
160.0,1641,3016.602697
45.0,1005,3019.25055
235.0,2417,3025.800255
175.0,2571,3032.780832
110.0,1517,3036.831155
155.0,1701,3041.489579
365.0,2995,3049.588451
310.0,2973,3057.516695
490.0,2747,3064.923249
65.0,1557,3069.077665
35.0,1125,3071.974458
115.0,1585,3076.267469
120.0,1585,3080.557584
90.0,1865,3085.553876
160.0,1749,3090.355342
460.0,3307,3099.391656
230.0,2903,3107.332846
220.0,2673,3114.527286
40.0,1001,3117.054997
130.0,1347,3120.63091
85.0,1579,3124.883409
110.0,1929,3130.143507
10.0,977,3132.687363
125.0,1977,3140.656512
50.0,1483,3144.592535
210.0,3107,3152.97879
25.0,939,3155.379563
10.0,1407,3159.113951
135.0,1717,3163.688426
130.0,1157,3166.718774
65.0,1161,3169.874207
50.0,1513,3173.919905
80.0,1145,3176.893925
35.0,1253,3180.267124
415.0,2517,3187.028607
80.0,1405,3190.839914
135.0,1483,3195.099335
150.0,1511,3199.135406
35.0,1239,3202.314936
110.0,1211,3205.613481
135.0,1557,3209.775269
55.0,1319,3213.421208
240.0,3609,3223.201648
415.0,3203,3232.085496
150.0,1639,3236.569926
215.0,3225,3245.397082
60.0,1463,3249.406788
260.0,2679,3256.625749
100.0,1649,3261.123159
135.0,1715,3265.713979
410.0,4153,3276.927028
210.0,3087,3285.573937
180.0,2305,3292.352462
210.0,2293,3298.692673
240.0,2707,3306.170793
495.0,3019,3314.468856
425.0,2597,3321.718228
425.0,2759,3329.381732
285.0,3785,3339.950755
210.0,3143,3348.717682
105.0,1929,3353.993048
345.0,3095,3362.350675
420.0,4069,3373.644545
290.0,3467,3383.134555
155.0,2143,3388.970898
215.0,2271,3395.071083
215.0,2717,3402.347244
215.0,2579,3409.3019
365.0,4337,3426.589234
210.0,2587,3433.552896
440.0,2569,3440.655764
120.0,2307,3446.952918
375.0,3291,3455.990492
365.0,5309,3470.380073
800.0,4147,3482.041281
180.0,2455,3488.759168
670.0,4431,3500.961689
410.0,4207,3512.498607
370.0,2995,3521.358687
210.0,2551,3528.83038
825.0,4698,3541.641683
315.0,3815,3552.180464
485.0,3937,3562.961058
315.0,3797,3573.186249
315.0,4083,3584.273948
765.0,4523,3596.986998
260.0,4661,3609.544518
850.0,4491,3622.170637
300.0,2559,3629.128821
485.0,4667,3641.854775
160.0,2523,3648.929963
255.0,2883,3656.74734
650.0,3221,3665.547541
330.0,3845,3675.97191
255.0,2639,3683.066374
355.0,3085,3691.437274
755.0,4177,3709.60993
390.0,3157,3718.33496
665.0,4293,3730.607038
650.0,4703,3743.43783
565.0,4805,3756.664988
395.0,3451,3766.281602
240.0,2233,3772.353061
370.0,2905,3780.27504
625.0,5075,3794.045869
555.0,3679,3804.144915
605.0,4241,3815.760871
515.0,4109,3827.152829
595.0,4517,3839.661752
420.0,3273,3848.741492
200.0,3243,3858.286258
305.0,2969,3866.633883
395.0,4123,3877.840065
140.0,1463,3881.915949
350.0,3735,3892.429837
185.0,2661,3899.886501
290.0,3559,3909.847335
335.0,3408,3919.168759
325.0,4269,3930.750557
610.0,4389,3942.72686
215.0,2479,3949.391699
695.0,4423,3961.483167
515.0,3309,3970.685284
225.0,3455,3980.130679
585.0,3969,3997.257124
390.0,3895,4007.701599
515.0,3307,4016.847682
260.0,3105,4025.160379
275.0,3163,4033.773291
190.0,2723,4041.12329
225.0,2697,4048.609881
315.0,3115,4057.17988
805.0,5053,4070.787164
125.0,1771,4075.665864
420.0,3803,4085.83806
375.0,2501,4092.767597
335.0,2895,4100.7082
370.0,3870,4111.130591
260.0,4131,4122.590406
155.0,2285,4128.755735
445.0,4231,4140.315545
195.0,2749,4147.824198
155.0,2221,4153.872247
480.0,5268,4168.268965
420.0,4759,4181.426503
260.0,3169,4190.010339
770.0,4233,4201.270227
265.0,3223,4210.114821
245.0,3473,4219.51268
535.0,5289,4234.038517
670.0,4505,4246.23987
525.0,5231,4260.458291
370.0,3099,4268.799583
430.0,4514,4287.849542
655.0,4355,4299.719176
210.0,2567,4306.992379
180.0,3037,4315.41996
345.0,2875,4323.369003
210.0,2415,4330.005191
450.0,5158,4344.076237
225.0,2849,4351.879024
510.0,4715,4364.7707
640.0,4511,4377.267775
375.0,3637,4387.184575
310.0,4303,4398.9727
390.0,4653,4411.626629
690.0,4873,4425.048078
210.0,2479,4431.803064
670.0,4519,4444.119481
385.0,4365,4456.119192
245.0,3021,4464.498195
635.0,4155,4475.783438
315.0,3981,4486.864683
455.0,4687,4499.701753
360.0,3689,4510.118664
450.0,4960,4523.936293
390.0,4651,4536.743774
450.0,2839,4544.481251
615.0,4457,4562.071629
345.0,2917,4569.918116
300.0,3803,4580.314088
420.0,4463,4592.667941
180.0,2523,4599.745886
625.0,4798,4612.83674
425.0,2637,4620.077591
470.0,4081,4631.350694
720.0,4633,4643.990341
240.0,2953,4652.053671
275.0,2875,4659.860409
290.0,3153,4668.376265
600.0,4497,4680.625301
390.0,4145,4691.86642
315.0,3873,4702.450796
405.0,4371,4714.44791
305.0,3261,4723.32701
665.0,4611,4735.921074
880.0,4987,4749.534843
175.0,2801,4757.369125
590.0,4179,4768.849071
225.0,2793,4776.653905
440.0,3564,4786.485297
585.0,4337,4798.373409
210.0,2439,4805.15292
335.0,3425,4814.558932
525.0,4219,4826.359994
585.0,4123,4843.414424
780.0,5349,4858.088833
230.0,2801,4865.776661
120.0,1863,4870.90804
565.0,3720,4881.176146
345.0,2631,4888.440566
315.0,3159,4897.481786
475.0,4617,4910.504257
295.0,3369,4919.826419
305.0,3171,4928.789585
560.0,2667,4936.327868
670.0,4623,4949.102449
330.0,3384,4958.667522
365.0,3331,4967.770802
420.0,3285,4976.732509
195.0,2567,4983.728997
190.0,2719,4991.28331
270.0,2397,4998.085543
415.0,3927,5009.015287
315.0,2631,5016.3784
275.0,3097,5025.106884
255.0,3097,5033.655597
540.0,2753,5041.336479
300.0,3223,5050.297875
490.0,3453,5059.754318
465.0,3893,5070.791922
895.0,7891,5092.701283
335.0,2662,5100.020573
240.0,3239,5109.194262
225.0,3451,5118.871812
495.0,3359,5134.230723
290.0,2983,5142.623998
260.0,2873,5150.63596
485.0,3227,5159.470284
530.0,3035,5167.781422
365.0,3095,5176.386407
405.0,3093,5185.035015
215.0,2723,5192.857928
410.0,3511,5203.095833
460.0,2743,5210.935957
240.0,3685,5221.209432
560.0,2710,5228.794458
130.0,2387,5235.353299
370.0,3029,5243.943385
355.0,2765,5251.600417
505.0,3087,5260.34719
345.0,3031,5268.746776
295.0,2959,5276.923466
530.0,5193,5291.356667
245.0,3117,5300.370703
670.0,3436,5310.244918
470.0,3763,5320.876476
325.0,2563,5328.007733
435.0,3536,5337.930432
385.0,4089,5349.400498
345.0,2849,5357.292567
145.0,2099,5363.365413
405.0,3407,5373.042589
305.0,2695,5380.674824
450.0,3861,5391.538163
80.0,1087,5394.613234
400.0,3449,5404.313939
535.0,3097,5413.206983
620.0,3395,5429.699741
910.0,6251,5447.455422
290.0,2497,5454.581864
610.0,4401,5467.164711
360.0,3757,5477.943182
560.0,5079,5492.358102
255.0,3372,5501.750956
360.0,3411,5511.306215
315.0,3267,5520.788431
390.0,4359,5533.079873
340.0,3838,5543.888552
355.0,4075,5555.505664
615.0,3741,5566.262336
495.0,3417,5575.898299
320.0,2497,5582.974111
510.0,2607,5590.285069
125.0,2235,5596.652286
160.0,2365,5603.377659
280.0,2949,5611.762982
300.0,2892,5619.96124
290.0,2793,5627.772405
310.0,2767,5635.566718
420.0,3233,5644.695324
420.0,2851,5652.707899
235.0,2517,5659.744015
335.0,2750,5667.644913
485.0,3077,5676.45417
345.0,2455,5683.707917
285.0,2577,5690.889192
305.0,3107,5699.687834
500.0,2583,5707.086634
530.0,3068,5721.781164
730.0,2679,5729.463814
315.0,2455,5736.46695
365.0,2455,5743.606593
255.0,3317,5753.039336
350.0,2540,5760.64792
795.0,3653,5770.898457
195.0,2527,5778.17848
455.0,3327,5787.772566
375.0,2497,5795.055918
375.0,3449,5804.935787
535.0,3297,5814.564272
255.0,2718,5822.570607
275.0,2331,5829.179392
315.0,3119,5838.295537
380.0,2811,5846.560745
230.0,2747,5854.470758
215.0,2141,5860.689531
360.0,2694,5868.399737
185.0,2777,5876.393126
535.0,2700,5884.228296
225.0,2571,5891.461466
560.0,2691,5899.253807
365.0,2800,5907.444719
270.0,3195,5916.640148
345.0,3547,5926.867012
300.0,3106,5935.842563
350.0,2901,5944.268784
265.0,3399,5954.043153
280.0,3364,5963.639373
180.0,1963,5969.211187
260.0,3411,5979.027246
280.0,3287,5988.942221
280.0,3073,5998.112931
320.0,2685,6005.84784
550.0,2647,6020.388324
505.0,3349,6029.778831
315.0,2933,6037.999644
485.0,3062,6046.62813
620.0,2540,6053.748655
260.0,3201,6063.026407
505.0,3247,6072.361898
300.0,2561,6079.664255
540.0,2647,6087.029025
535.0,2891,6095.160019
345.0,2728,6103.018562
715.0,3450,6112.784519
235.0,2949,6121.071567
220.0,2939,6129.238449
230.0,3369,6138.753723
345.0,3581,6149.018231
310.0,3098,6157.823139
280.0,2694,6165.351873
485.0,2753,6173.092124
650.0,3921,6184.014105
315.0,3061,6192.881409
305.0,3185,6202.135835
365.0,4951,6216.220534
255.0,3738,6226.748599
335.0,3197,6235.695174
970.0,5953,6252.419312
210.0,1877,6257.768746
425.0,3551,6267.631665
605.0,4611,6280.650731
325.0,2540,6287.820864
655.0,3658,6298.10652
180.0,1893,6309.450583
