#{"t_start": 1771697675.5216992, "env_id": "SpaceInvadersNoFrameskip-v4"}
r,l,t
180.0,1669,2.192818
460.0,2955,2.943695
125.0,2825,3.778487
185.0,2597,4.473291
90.0,1183,4.772733
105.0,2057,5.299264
75.0,1605,5.697873
320.0,3081,6.477168
285.0,4113,7.487319
325.0,2057,8.056812
135.0,2289,8.693784
30.0,1151,8.991288
280.0,3704,9.981276
460.0,2963,10.732982
75.0,1907,11.223461
75.0,1723,11.654008
180.0,1907,12.132296
115.0,1919,12.626308
355.0,2053,13.226529
175.0,3327,14.058077
55.0,1301,14.395085
370.0,3819,15.399245
380.0,3531,16.294339
155.0,2359,16.881277
105.0,1505,17.265981
80.0,1489,17.642812
80.0,1497,18.077303
80.0,1533,18.530256
35.0,1451,18.900377
35.0,1595,19.304032
110.0,2017,19.803539
110.0,1847,20.271395
20.0,1329,20.650234
315.0,2401,21.287046
135.0,2343,21.867372
80.0,1121,22.152021
135.0,1711,22.593613
230.0,3243,23.501276
150.0,1827,23.961473
355.0,2291,24.548716
125.0,2179,25.090298
50.0,1121,25.37771
100.0,1529,25.762542
155.0,2131,26.32078
200.0,2735,27.041989
165.0,1829,27.501022
170.0,2313,28.143761
200.0,1789,31.384256
65.0,1333,31.718688
120.0,1671,32.150903
285.0,2951,32.890613
105.0,1963,33.522711
220.0,3119,34.297959
155.0,1641,34.715936
170.0,1977,35.206267
125.0,2595,35.851684
95.0,1133,36.142208
35.0,1477,36.517053
15.0,1373,36.871522
90.0,1505,37.254861
150.0,1381,37.608715
440.0,2783,38.398178
125.0,2135,38.948947
180.0,2913,39.672227
55.0,1193,39.972236
110.0,2047,40.484654
45.0,1457,40.860445
135.0,2033,41.369683
55.0,1617,41.771384
45.0,1573,42.169754
155.0,2073,42.687731
105.0,1191,43.025263
65.0,1481,43.468055
135.0,2159,44.011315
265.0,2973,44.748409
130.0,1363,45.09624
45.0,1255,45.415126
30.0,1211,45.723458
135.0,2825,46.436442
170.0,1883,46.901527
120.0,1827,47.376322
20.0,1337,47.710132
60.0,2167,48.344802
410.0,2567,48.977871
55.0,1451,49.357782
155.0,2069,49.870393
210.0,1847,50.335019
45.0,1507,50.710305
170.0,2737,51.40047
280.0,2773,52.088583
90.0,2013,52.602275
20.0,1297,52.931323
105.0,1383,53.389172
380.0,2847,54.097428
55.0,1395,54.448967
235.0,2531,55.087162
90.0,1979,55.591741
85.0,1807,56.04728
190.0,2395,56.645569
110.0,1927,57.129058
120.0,1805,60.205816
125.0,2067,60.71921
45.0,1907,61.200269
110.0,1643,61.617862
105.0,1839,62.07992
335.0,3827,63.066295
120.0,1729,63.550892
45.0,1613,63.951133
80.0,1617,64.363909
105.0,1905,64.844174
80.0,1503,65.228771
65.0,1789,65.688338
35.0,1175,65.983088
155.0,1951,66.473186
100.0,2387,67.070194
135.0,2075,67.596556
180.0,2159,68.228374
90.0,1595,68.665489
70.0,1153,68.962338
125.0,2337,69.567473
155.0,2237,70.132835
30.0,1657,70.55364
30.0,1119,70.837435
180.0,1971,71.329648
210.0,2411,71.93628
105.0,1519,72.323896
335.0,4103,73.443202
120.0,2195,73.998722
180.0,1991,74.501597
85.0,1143,74.794488
115.0,1993,75.29771
170.0,2295,75.877461
285.0,2625,76.530635
105.0,1841,76.991945
240.0,3369,77.834952
30.0,1495,78.311432
435.0,3207,79.107045
90.0,1389,79.459483
110.0,2205,80.023548
60.0,1435,80.38581
250.0,2981,81.120991
20.0,1341,81.460132
180.0,1869,81.937379
490.0,4447,83.083569
210.0,2847,83.864312
80.0,1463,84.23827
65.0,1665,84.656808
70.0,1819,85.109238
30.0,1079,85.380562
150.0,1875,85.858482
90.0,1211,86.168167
45.0,1609,89.455017
135.0,2111,89.990998
230.0,2545,90.631709
80.0,1499,91.013283
340.0,3493,91.873874
135.0,1909,92.378512
55.0,1513,92.780805
185.0,1981,93.382474
155.0,2071,93.900593
175.0,2357,94.503293
215.0,2331,95.090776
80.0,1957,95.585988
15.0,1011,95.843368
210.0,2455,96.467927
60.0,1605,96.874808
110.0,1569,97.274305
205.0,3343,98.185756
180.0,1923,98.693425
110.0,2303,99.276487
80.0,1935,99.757265
200.0,2805,100.472836
170.0,2139,101.00545
60.0,1181,101.313982
590.0,3553,102.185006
255.0,2273,102.75237
120.0,1619,103.265526
425.0,2589,103.909816
60.0,1327,104.248708
180.0,2127,104.789746
135.0,2389,105.388634
110.0,1765,105.831382
225.0,2943,106.5807
40.0,1215,106.882552
80.0,1633,107.299787
135.0,2255,107.861532
185.0,2165,108.508236
550.0,2805,109.208783
380.0,2599,109.855265
210.0,2643,110.5226
130.0,2135,111.056283
155.0,1903,111.534572
155.0,2225,112.096793
135.0,2263,112.67088
200.0,2731,113.457727
215.0,2547,114.093456
290.0,3155,114.87496
135.0,2213,115.437862
55.0,1529,120.823394
55.0,1497,124.415929
75.0,1137,127.229569
40.0,1135,130.014112
180.0,2043,134.805022
75.0,1821,139.068556
155.0,2345,144.57801
110.0,1885,149.084558
80.0,1283,152.089488
140.0,1929,156.748114
135.0,1879,161.435552
